,From,To,NoShops,Dwellings,Number of inhabitants,Number of people staying at home during the day,Dishwasher,Clothes Washer,Dryer ,Electric Cooking,Electric sanitary Hot Water,Day-night Tariff,Annual Electricity Consumption (MWh),Annual Electricity Consumption at Night Tariff (MWh),Heating System,Total Surface of House (m2),Building Energy Rating,Total Number of Rooms,Apartment or House,Number of Walls Connected to the External Ambiance
Poor-Room1,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,0.0,0,1,0,0,0,0,0.0,0.0,0,7.180670553994477e-05,6,1,1,2
Poor-Room2,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,0.0,0,1,0,0,0,0,0.0,0.0,0,0.00014361341107988954,6,2,1,2
Poor-Room3,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0002154201166198343,6,3,1,2
Poor-Room4,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0002872268221597791,6,4,1,2
Poor-Room5,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,0.0,0,1,0,0,0,0,0.0,0.0,0,0.00035903352769972385,6,5,1,2
Poor-Room6,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0004308402332396686,6,6,1,2
Poor-Room7,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0005026469387796133,6,7,1,2
Poor-Room8,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0005744536443195582,6,8,1,2
Poor-Room9,2021-01-01 00:00:00,2021-01-01 23:45:00,1,3.0,2,0.0,0,1,0,0,0,0,0.0,0.0,0,0.000646260349859503,6,9,1,2
VeryPoor-Room1,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,0.0,0,0,0,0,0,0,0.0,0.0,0,7.180670553994477e-05,7,1,0,1
VeryPoor-Room2,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,0.0,0,0,0,0,0,0,0.0,0.0,0,0.00014361341107988954,7,2,0,1
VeryPoor-Room3,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0002154201166198343,7,3,0,1
VeryPoor-Room4,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0002872268221597791,7,4,0,1
VeryPoor-Room5,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,0.0,0,0,0,0,0,0,0.0,0.0,0,0.00035903352769972385,7,5,0,1
VeryPoor-Room6,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0004308402332396686,7,6,0,1
VeryPoor-Room7,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0005026469387796133,7,7,0,1
VeryPoor-Room8,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0005744536443195582,7,8,0,1
VeryPoor-Room9,2021-01-01 00:00:00,2021-01-01 23:45:00,1,27.0,2,0.0,0,0,0,0,0,0,0.0,0.0,0,0.000646260349859503,7,9,0,1
Poor-UE-Room1,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,1.0,0,1,0,0,0,1,3.5,1.9,0,7.180670553994477e-05,6,1,0,2
Poor-UE-Room2,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,1.0,0,1,0,0,0,1,3.5,1.9,0,0.00014361341107988954,6,2,0,2
Poor-UE-Room3,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,1.0,0,1,0,0,0,1,3.5,1.9,0,0.0002154201166198343,6,3,0,2
Poor-UE-Room4,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,1.0,0,1,0,0,0,1,3.5,1.9,0,0.0002872268221597791,6,4,0,2
Poor-UE-Room5,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,1.0,0,1,0,0,0,1,3.5,1.9,0,0.00035903352769972385,6,5,0,2
Poor-UE-Room6,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,1.0,0,1,0,0,0,1,3.5,1.9,0,0.0004308402332396686,6,6,0,2
Poor-UE-Room7,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,1.0,0,1,0,0,0,1,3.5,1.9,0,0.0005026469387796133,6,7,0,2
Poor-UE-Room8,2021-01-01 00:00:00,2021-01-01 23:45:00,1,1.5,2,1.0,0,1,0,0,0,1,3.5,1.9,0,0.0005744536443195582,6,8,0,2
Poor-UE-Room9,2021-01-01 00:00:00,2021-01-01 23:45:00,1,3.0,2,1.0,0,1,0,0,0,1,3.5,1.9,0,0.000646260349859503,6,9,0,2
VeryPoor-UE-Room1,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,1.0,0,0,0,0,0,1,1.2,0.7,0,7.180670553994477e-05,7,1,0,1
VeryPoor-UE-Room2,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,1.0,0,0,0,0,0,1,1.2,0.7,0,0.00014361341107988954,7,2,0,1
VeryPoor-UE-Room3,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,1.0,0,0,0,0,0,1,1.2,0.7,0,0.0002154201166198343,7,3,0,1
VeryPoor-UE-Room4,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,1.0,0,0,0,0,0,1,1.2,0.7,0,0.0002872268221597791,7,4,0,1
VeryPoor-UE-Room5,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,1.0,0,0,0,0,0,1,1.2,0.7,0,0.00035903352769972385,7,5,0,1
VeryPoor-UE-Room6,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,1.0,0,0,0,0,0,1,1.2,0.7,0,0.0004308402332396686,7,6,0,1
VeryPoor-UE-Room7,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,1.0,0,0,0,0,0,1,1.2,0.7,0,0.0005026469387796133,7,7,0,1
VeryPoor-UE-Room8,2021-01-01 00:00:00,2021-01-01 23:45:00,1,13.5,2,1.0,0,0,0,0,0,1,1.2,0.7,0,0.0005744536443195582,7,8,0,1
VeryPoor-UE-Room9,2021-01-01 00:00:00,2021-01-01 23:45:00,1,27.0,2,1.0,0,0,0,0,0,1,1.2,0.7,0,0.000646260349859503,7,9,0,1
